IssuerDesc,SecurityCode,SecurityDesc,HoldingDirection,CustodianCode,CurrencyCode,Quantity,PriceLocal,PriceBook,UnderlierPriceBook,MktValLocal,MktValBook,AvgCostLocal,AvgCostBook,CostLocal,CostBook,DtdPnlTotal,MtdPnlTotal,YtdPnlTotal,NetExposure,BbergCode,BloombergMarketSectorCode,Cusip,Sedol,Isin,AccrualStartDate,FrequencyCode,Coupon,IssuedDate,Maturity,Strike,ContractSize,ExcerciseType,PutCall,Expiration,ExchangeCode,SecurityTypeCode,SectorDesc,GeographyRegionDesc,GicsSectorDesc
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,S,JPM,USD,-21539.70956,210.97,210.97,0,-4544232.526,-4544232.526,204.4977,0,-8924075,-8924075,-39702.84315,-120951.24,-606128.115,-4544232.526,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,S,GSCO-US,USD,-13903.94135,210.97,210.97,0,-2933314.507,-2933314.507,200.7842,0,-5516546,-5516546,-24453.31702,-45975.31479,-77554.66583,-2933314.507,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,S,JPM,USD,-22083.86206,210.97,210.97,0,-4659032.379,-4659032.379,204.4977,0,-8924075,-8924075,-38839.61061,-133740.099,-182431.4137,-4659032.379,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
3M Co,MMM,3M CO,S,GSCO-US,USD,-8236,104.71,104.71,0,-862391.56,-862391.56,81.799,0,-673697,-673697,-7247.68,13177.6,-102908.96,-862391.56,EQ0010100100001000 UN,Equity,88579Y101,2595708,US88579Y1010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,North America,Industrials
SPDR S&P MidCap 400 ETF Trust,MDY,SPDR S&P MIDCAP 400 ETF TRST,S,CSFB,USD,-13482.9023,210.97,210.97,0,-2844487.899,-2844487.899,204.792,0,-5456273,-5456273,-23712.81985,-42250.74149,-121293.7068,-2844487.899,EQ0114416800060000 US,Equity,78467Y107,2550688,US78467Y1073,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
3M Co,MMM,3M CO,S,JPM,USD,-9866,104.71,104.71,0,-1033068.86,-1033068.86,102.883,0,-1015044,-1015044,-8682.08,15785.6,-18343.902,-1033068.86,EQ0010100100001000 UN,Equity,88579Y101,2595708,US88579Y1010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNYS,Stock,Industrials,North America,Industrials
Novastar Home Equity Loan,66987XEE1,NHEL 2004-1 M5,L,BONY,USD,5349100,75,75,0,928240.0212,928240.0212,60,0,742592,742592,12437.53362,14206.53362,77711.53494,928240.0212,66987XEE1,Mtge,66987XEE1,,US66987XEE13,6/25/2013,Monthly,1.76503,3/11/2004,6/25/2034,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Photronics Inc,PLAB,PHOTRONICS INC,L,GSCO-US,USD,12735,7.89,7.89,0,100479.15,100479.15,7.2478,0,92301,92301,-509.4,8405.1,8405.1,100479.15,EQ0010613300001000 US,Equity,719405102,2687315,US7194051022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNGS,Stock,Information Technology,North America,Information Technology
PEACH 1999-A,70467FAD7,PEACH 1999-A B,L,BONY,USD,279700,98,98,0,274106,274106,91,0,254527,254527,59,1770,9176.75,274106,70467FAD7,Corp,70467FAD7,,US70467FAD78,1753-01-01,NOT SPECIFIED,7.55,1753-01-01,1/1/2021,NULL,NULL,NULL,NULL,NULL,NOT SPECIFIED,Bond,Consumer Discretionary,North America,
Sirius XM Radio Inc,SIRI,SIRIUS XM RADIO INC,S,CSFB,USD,-1887225.348,3.25,3.25,0,-6133482.381,-6133482.381,1.796,0,-3389485,-3389485,-339700.5626,-320828.3091,-679401.1252,-6133482.381,EQ0012998400001000 US,Equity,82967N108,2159698,US82967N1081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,XNGS,Stock,Consumer Discretionary,North America,Consumer Discretionary
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,CSFB,USD,232.220452,159.68,159.68,0,37080.96178,37080.96178,159.1404,0,-21150246,-21150246,101.7141605,-1971.223026,-1971.223026,37080.96178,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,GSCO-US,USD,79.679092,159.68,159.68,0,12723.15741,12723.15741,158.6983,0,-4943770,-4943770,33.43541113,-153.7703021,-153.7703021,12723.15741,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,JPM,USD,153.243149,159.68,159.68,0,24469.86603,24469.86603,157.7092,0,-7436308,-7436308,63.01148786,1078.377557,1078.377557,24469.86603,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,PERS,USD,311.254625,159.68,159.68,0,49701.13852,49701.13852,156.4838,0,-19042677,-19042677,130.6107959,2604.478497,2604.478497,49701.13852,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,MSCO,USD,206.38463,159.68,159.68,0,32955.49772,32955.49772,154.0573,0,-12430884,-12430884,86.60448084,1824.660561,1824.660561,32955.49772,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,MSCO,USD,31681.7984,159.68,159.68,0,5058949.568,5058949.568,154.0573,0,-12430884,-12430884,12039.08339,210900.4561,210900.4561,5058949.568,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,GSCO-US,USD,-6099.779427,159.68,159.68,0,-974012.7789,-974012.7789,158.6983,0,-4943770,-4943770,-2267.78142,-7592.168323,-8984.07876,-974012.7789,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,CSFB,USD,-18833.37795,159.68,159.68,0,-3007313.79,-3007313.79,159.1404,0,-21150246,-21150246,-6942.790025,-27591.90185,-31336.02374,-3007313.79,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,MSCO,USD,-15799.67348,159.68,159.68,0,-2522891.86,-2522891.86,154.0573,0,-12430884,-12430884,-5874.014291,-22375.97515,-22784.82356,-2522891.86,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,JPM,USD,-11411.49848,159.68,159.68,0,-1822188.078,-1822188.078,157.7092,0,-7436308,-7436308,-4260.483512,-16777.89722,-22001.78041,-1822188.078,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,PERS,USD,-23827.96317,159.68,159.68,0,-3804849.16,-3804849.16,156.4838,0,-19042677,-19042677,-8858.776628,-34433.40461,-38864.2358,-3804849.16,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,MSCO,USD,852.577912,159.68,159.68,0,136139.641,136139.641,154.0573,0,-12430884,-12430884,577.2402438,57606.55879,103227.2825,136139.641,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,MSCO,USD,-3052.196377,159.68,159.68,0,-487374.7175,-487374.7175,154.0573,0,-12430884,-12430884,-1159.834623,-15512.40198,-27425.79035,-487374.7175,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,CSFB,USD,652.755103,159.68,159.68,0,104231.9348,104231.9348,159.1404,0,-21150246,-21150246,665.1897007,-6539.722522,201426.0754,104231.9348,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,JPM,USD,725.943385,159.68,159.68,0,115918.6397,115918.6397,157.7092,0,-7436308,-7436308,423.8538534,35825.22253,449396.3745,115918.6397,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,GSCO-US,USD,329.160307,159.68,159.68,0,52560.31782,52560.31782,158.6983,0,-4943770,-4943770,222.8554743,-8784.323304,265960.316,52560.31782,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,PERS,USD,47780.26681,159.68,159.68,0,7629553.004,7629553.004,156.4838,0,-19042677,-19042677,18156.50139,314929.5288,314929.5288,7629553.004,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,PERS,USD,1285.791304,159.68,159.68,0,205315.1554,205315.1554,156.4838,0,-19042677,-19042677,870.5529417,75746.39797,371507.2983,205315.1554,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,PERS,USD,-4603.108554,159.68,159.68,0,-735024.3739,-735024.3739,156.4838,0,-19042677,-19042677,-1749.181251,-19365.53826,-90025.96206,-735024.3739,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,CSFB,USD,37401.32693,159.68,159.68,0,5972243.884,5972243.884,159.1404,0,-21150246,-21150246,14212.50423,67971.43144,67971.43144,5972243.884,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,JPM,USD,22992.76384,159.68,159.68,0,3671484.53,3671484.53,157.7092,0,-7436308,-7436308,8737.250258,151480.9468,151480.9468,3671484.53,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,GSCO-US,USD,12231.3965,159.68,159.68,0,1953109.393,1953109.393,158.6983,0,-4943770,-4943770,4647.93067,38868.49223,38868.49223,1953109.393,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,MSCO,USD,8557.660274,159.68,159.68,0,1366487.193,1366487.193,154.0573,0,-12430884,-12430884,592.7217466,922.3117639,-16478.03159,1366487.193,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,CSFB,USD,-23829.22869,159.68,159.68,0,-3805051.237,-3805051.237,159.1404,0,-21150246,-21150246,-1469.20675,5549.587919,50128.00641,-3805051.237,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,GSCO-US,USD,3303.800083,159.68,159.68,0,527550.7973,527550.7973,158.6983,0,-4943770,-4943770,228.8295477,6788.300072,41428.05623,527550.7973,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,PERS,USD,12906.13564,159.68,159.68,0,2060851.739,2060851.739,156.4838,0,-19042677,-19042677,893.9047078,5845.930634,-66515.00688,2060851.739,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,GSCO-US,USD,-13861.82273,159.68,159.68,0,-2213455.853,-2213455.853,158.6983,0,-4943770,-4943770,-4242.320679,-9893.590072,-9893.590072,-2213455.853,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,JPM,USD,-24933.84442,159.68,159.68,0,-3981436.276,-3981436.276,157.7092,0,-7436308,-7436308,-7923.120996,-86264.28076,-86264.28076,-3981436.276,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,CSFB,USD,-46096.01437,159.68,159.68,0,-7360611.575,-7360611.575,159.1404,0,-21150246,-21150246,-13142.71932,-36055.03814,-36055.03814,-7360611.575,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,CSFB,USD,-7785.700012,159.68,159.68,0,-1243220.578,-1243220.578,159.1404,0,-21150246,-21150246,-2924.591707,-3631.954758,-3631.954758,-1243220.578,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,PERS,USD,-54149.59754,159.68,159.68,0,-8646607.736,-8646607.736,156.4838,0,-19042677,-19042677,-16572.05535,-172913.1331,-172913.1331,-8646607.736,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,MSCO,USD,-35905.08079,159.68,159.68,0,-5733323.301,-5733323.301,154.0573,0,-12430884,-12430884,-10988.47801,-121332.294,-121332.294,-5733323.301,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,GSCO-US,USD,-2536.74358,159.68,159.68,0,-405067.2149,-405067.2149,158.6983,0,-4943770,-4943770,-955.9992901,-1187.327346,-1187.327346,-405067.2149,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,MSCO,USD,-6570.681658,159.68,159.68,0,-1049206.447,-1049206.447,154.0573,0,-12430884,-12430884,-2476.232163,-3075.415711,-3075.415711,-1049206.447,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,JPM,USD,-4759.879359,159.68,159.68,0,-760057.536,-760057.536,157.7092,0,-7436308,-7436308,-1796.70064,-2231.558521,-2231.558521,-760057.536,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,PERS,USD,-9909.441912,159.68,159.68,0,-1582339.685,-1582339.685,156.4838,0,-19042677,-19042677,-3734.479741,-4638.138401,-4638.138401,-1582339.685,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,CSFB,USD,-3603.210686,159.68,159.68,0,-575360.6823,-575360.6823,159.1404,0,-21150246,-21150246,-1369.220061,-620.1957445,-48005.39076,-575360.6823,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,GSCO-US,USD,-1178.361898,159.68,159.68,0,-188160.8279,-188160.8279,158.6983,0,-4943770,-4943770,-447.7775212,2860.696398,-60741.77269,-188160.8279,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,JPM,USD,-2215.102489,159.68,159.68,0,-353707.5654,-353707.5654,157.7092,0,-7436308,-7436308,-841.7389458,-9779.181228,-110838.3569,-353707.5654,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,GSCO-US,USD,2394.295715,159.68,159.68,0,382321.1398,382321.1398,158.6983,0,-4943770,-4943770,903.9813653,-7365.206961,-7365.206961,382321.1398,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,CSFB,USD,7342.478819,159.68,159.68,0,1172447.018,1172447.018,159.1404,0,-21150246,-21150246,2765.179323,1414.183646,1414.183646,1172447.018,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,PERS,USD,9352.988418,159.68,159.68,0,1493485.191,1493485.191,156.4838,0,-19042677,-19042677,3531.278855,41568.85041,41568.85041,1493485.191,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,MSCO,USD,6201.712536,159.68,159.68,0,990289.4577,990289.4577,154.0573,0,-12430884,-12430884,2341.495173,31036.81093,31036.81093,990289.4577,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,JPM,USD,4494.419322,159.68,159.68,0,717668.8773,717668.8773,157.7092,0,-7436308,-7436308,1699.022999,18006.37788,18006.37788,717668.8773,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,CSFB,USD,-5418.211797,159.68,159.68,0,-865180.0597,-865180.0597,159.1404,0,-21150246,-21150246,-1979.197089,21737.50877,18878.83812,-865180.0597,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,JPM,USD,-3268.841226,159.68,159.68,0,-521968.567,-521968.567,157.7092,0,-7436308,-7436308,-1213.875103,12782.25643,5079.328814,-521968.567,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,GSCO-US,USD,-1749.813461,159.68,159.68,0,-279410.2135,-279410.2135,158.6983,0,-4943770,-4943770,-646.242652,49213.44442,43380.62355,-279410.2135,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,PERS,USD,-6835.410786,159.68,159.68,0,-1091478.394,-1091478.394,156.4838,0,-19042677,-19042677,-2524.458212,16362.84025,11559.18695,-1091478.394,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,L,MSCO,USD,2147.688975,159.68,159.68,0,342942.9755,342942.9755,154.0573,0,-12430884,-12430884,799.9176875,11870.44078,31356.40288,342942.9755,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,MSCO,USD,-4532.374548,159.68,159.68,0,-723729.5678,-723729.5678,154.0573,0,-12430884,-12430884,-1673.899699,-665.2703226,-3925.223247,-723729.5678,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
SPDR S&P 500 ETF Trust,SPY,SPDR S&P 500 ETF TRUST,S,MSCO,USD,-12471.28652,159.68,159.68,0,-1991415.031,-1991415.031,154.0573,0,-12430884,-12430884,-4627.547441,-73954.5423,-117640.6521,-1991415.031,EQ0727683900060000 US,Equity,78462F103,2840215,US78462F1030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARCX,Stock,Indices/ETFs/Custom Baskets,North America,
